report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,full_address
20012889,2020-03-02 00:10:09,722,2000, ,CORONADO,AVENUE, , , ,20002(A),VC,HIT AND RUN:PROP DAMAGE (M),1,0,MISDEMEANOR,"2000   CORONADO AVENUE San Diego, California"
20201542,2020-03-02 00:14:00,834,3600, ,FAIRMOUNT,AVENUE, , , ,22107,VC,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,MISDEMEANOR,"3600   FAIRMOUNT AVENUE San Diego, California"
20201545,2020-03-02 05:00:39,234,10500, ,MATINAL,CIRCLE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),0,0,MISDEMEANOR,"10500   MATINAL CIRCLE San Diego, California"
20201544,2020-03-02 05:10:00,614,4900, ,DEL MONTE,AVENUE, , , ,22107,VC,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,,"4900   DEL MONTE AVENUE San Diego, California"
20201549,2020-03-02 10:04:36,713,8700, ,SIEMPRE VIVA,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,"8700   SIEMPRE VIVA ROAD San Diego, California"
20201551,2020-03-02 10:50:10,528,700, ,BLOCK KETTNER, , , , ,38314,VC,UNSAFE TURNING MOVEMENT (I),1,0,,"700   BLOCK KETTNER   San Diego, California"
20201553,2020-03-02 12:25:00,813,2500, ,UNIVERSITY,AVENUE, , , ,21703,VC,FOLLOWING TOO CLOSELY (I),1,0,,"2500   UNIVERSITY AVENUE San Diego, California"
20201591,2020-03-02 12:30:00,315,5600, ,MISSION CENTER,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,"5600   MISSION CENTER ROAD San Diego, California"
20201608,2020-03-02 12:50:00,122,2900, ,GARNET,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,"2900   GARNET AVENUE San Diego, California"
20201555,2020-03-02 12:55:00,934,, ,CALLE MAR DE MARIPOSA, , ,VISTA SORRENTO,PARKWAY,21453A,VC,SIGNAL LIGHTS:CIRCULAR RED (I),1,0,,"   CALLE MAR DE MARIPOSA   San Diego, California"
20201561,2020-03-02 14:19:00,437,,S,WOODMAN,STREET, ,East curbline S woodman, ,12500(A),VC,DRVG WITHOUT VALID DRVR'S LIC (I),2,0,," S WOODMAN STREET San Diego, California"
